family,R_V,alpha,chi2,max_abs_residual,bin2_residual,res_bin0,res_bin1,res_bin2,res_bin3,res_bin4,res_bin5
MIST,3.0,3.5,12.451132261493502,2.6520853656362484,0.34061022043386324,-1.627398247805541,2.6520853656362484,0.34061022043386324,-1.2100901797763288,-0.41681004162282503,1.0075148840877084
MIST,3.0,3.6,12.86897863703878,2.582695316757453,0.3207020110162157,-1.7774822146226872,2.582695316757453,0.3207020110162157,-1.1816972789135896,-0.3093847220500324,1.2017667699842287
MIST,3.0,3.7,13.44494903784986,2.5172267330826186,0.3045547050132318,-1.9253284458354776,2.5172267330826186,0.3045547050132318,-1.1509225531937053,-0.20221215116899796,1.394045530778965
MIST,3.0,3.8,14.172503114774791,2.4554915754386877,0.29204287375205207,-2.071022503466611,2.4554915754386877,0.29204287375205207,-1.1178252826020838,-0.09531395308177837,1.584305171257562
MIST,3.0,3.9,15.045503376966138,2.3973062769145526,0.28304501484816946,-2.2146495298267856,2.3973062769145526,0.28304501484816946,-1.0824592269454107,0.011297742325774249,1.7725104666147684
MIST,3.0,4.0,16.058217814249563,2.356294000855645,0.27744376296383794,-2.356294000855645,2.342491936297046,0.27744376296383794,-1.0448725050791352,0.11762011584788776,1.9586372402858638
MIST,3.1,1.8,31.325175388075927,4.091916563778634,1.790482765502468,0.7833432842124803,4.091916563778634,1.790482765502468,-1.0775243839219977,-2.0123965658349623,-2.356085790572363
MIST,3.1,1.9,28.10224563431327,3.931606942593355,1.6832636786481932,0.5915651129894103,3.931606942593355,1.6832636786481932,-1.1040457284898424,-1.915349689552717,-2.1386690217600814
MIST,3.1,2.0,25.202182987387012,3.778290497209036,1.58238103993145,0.40303110111425056,3.778290497209036,1.58238103993145,-1.1265394694929558,-1.8168288141629074,-1.9210366903807272
MIST,3.1,2.1,22.611086092665904,3.6317723545355807,1.4876906667787715,0.217704901212408,3.6317723545355807,1.4876906667787715,-1.1451013298656583,-1.7169841732065956,-1.7033511108289978
MIST,3.1,2.2,20.31569301894136,3.49185438240142,1.3990443341651395,0.03554592082508136,3.49185438240142,1.3990443341651395,-1.159829843045472,-1.6159624613912378,-1.4857716810310948
MIST,3.1,2.3,18.30334869858026,3.3583357146584807,1.3162902490473254,-0.14349033655771432,3.3583357146584807,1.3162902490473254,-1.1708256455703512,-1.5139059529877992,-1.2684543756043918
MIST,3.1,2.4,16.561973526208476,3.2310132844171995,1.2392735440435463,-0.31945191714171767,3.2310132844171995,1.2392735440435463,-1.1781907824093512,-1.4109516843886136,-1.0515512647336132
MIST,3.1,2.5,15.080033324961578,3.1096823600806767,1.1678367829009826,-0.49239005330327457,3.1096823600806767,1.1678367829009826,-1.1820280327334085,-1.3072307070866906,-0.8352100553502415
MIST,3.1,2.6,13.846510875042135,2.9941370789722086,1.1018204705677896,-0.6623587948852333,2.9941370789722086,1.1018204705677896,-1.1824402629666073,-1.2028674159742725,-0.6195736509445019
MIST,3.1,2.7,12.850879182358248,2.8841709736035783,1.0410635611005334,-0.8294146390838844,2.8841709736035783,1.0410635611005334,-1.1795298130241116,-1.0979789565024218,-0.4047797263549863
MIST,3.1,2.8,12.083076645171007,2.7795774859916813,0.9854039571667004,-0.9936161624286434,2.7795774859916813,0.9854039571667004,-1.1733979206720204,-0.9926747129240048,-0.19096031415919526
MIST,3.1,2.9,11.53348425384009,2.6801504658761655,0.9346789955169984,-1.1550236580505133,2.6801504658761655,0.9346789955169984,-1.1641441879661298,-0.8870558785832378,0.021758600194185688
MIST,3.1,3.0,11.192904932959177,2.585684649197899,0.8887259134787637,-1.3136987811031104,2.585684649197899,0.8887259134787637,-1.1518660927653994,-0.7812151080376778,0.23325747664781263
MIST,3.1,3.1,11.052545106600965,2.4959761137458107,0.8473822922344991,-1.4697042048511997,2.4959761137458107,0.8473822922344991,-1.1366585473953315,-0.6752362497183437,0.4434236134452859
MIST,3.1,3.2,11.103998536393677,2.410822709447653,0.810486473376086,-1.6231032895865567,2.410822709447653,0.810486473376086,-1.1186135056733046,-0.5691941568636489,0.6521515349444519
MIST,3.1,3.3,11.339232449236157,2.330024461350115,0.7778779459458012,-1.77395976617714,2.330024461350115,0.7778779459458012,-1.0978196187165457,-0.4631545736107974,0.8593433735397104
MIST,3.1,3.4,11.75057593729877,2.2533839438895447,0.7493977018726912,-1.9223374357116658,2.2533839438895447,0.7493977018726912,-1.0743619392440495,-0.35717409239947157,1.0649092438472747
MIST,3.1,3.5,12.330710578359632,2.1807066255837686,0.7248885583738874,-2.0682998863733926,2.1807066255837686,0.7248885583738874,-1.0483216734621204,-0.2513001782380761,1.2687676063126039
MIST,3.1,3.6,13.072663190401386,2.211910228369743,0.7041954465038656,-2.211910228369743,2.111801183766453,0.7041954465038656,-1.019775979092369,-0.145571254902084,1.4708456165121333
MIST,3.1,3.7,13.969800601729943,2.3532308474618278,0.6871656655933771,-2.3532308474618278,2.046479789431348,0.6871656655933771,-0.9887978076609784,-0.040016847772962744,1.6710794556877984
